tastiness,commoditie
0,"Wheat Flour (Enriched)"
3,"Macaroni"
2,"Wheat Cereal (Enriched)"
3,"Corn Flakes"
0,"Corn Meal"
-3,"Hominy Grits"
0,"Rice"
3,"Rolled Oats"
4,"White Bread (Enriched)"
3,"Whole Wheat Bread"
0,"Rye Bread"
3,"Pound Cake"
0,"Soda Crackers"
2,"Milk"
3,"Evaporated Milk (can)"
1,"Butter"
2,"Oleomargarine"
4,"Eggs"
2,"Cheese (Cheddar)"
0,"Cream"
3,"Peanut Butter"
3,"Mayonnaise"
0,"Crisco"
-3,"Lard"
5,"Sirloin Steak"
5,"Round Steak"
5,"Rib Roast"
4,"Chuck Roast"
0,"Plate"
-2,"Liver (Beef)"
4,"Leg of Lamb"
4,"Lamb Chops (Rib)"
5,"Pork Chops"
5,"Pork Loin Roast"
5,"Bacon"
3,"Ham, smoked"
4,"Salt Pork"
4,"Roasting Chicken"
0,"Veal Cutlets"
3,"Salmon, Pink (can)"
2,"Apples"
3,"Bananas"
3,"Lemons"
4,"Oranges"
-1,"Green Beans"
-1,"Cabbage"
0,"Carrots"
0,"Celery"
0,"Lettuce"
-1,"Onions"
2,"Potatoes"
-3,"Spinach"
4,"Sweet Potatoes"
5,"Peaches (can)"
4,"Pears (can)"
5,"Pineapple (can)"
-2,"Asparagus (can)"
-1,"Green Beans (can)"
2,"Pork and Beans (can)"
2,"Corn (can)"
0,"Peas (can)"
-1,"Tomatoes (can)"
2,"Tomato Soup (can)"
2,"Peaches, Dried"
3,"Prunes, Dried"
-1,"Raisins, Dried"
0,"Peas, Dried"
0,"Lima Beans, Dried"
0,"Navy Beans, Dried"
-2,"Coffee"
0,"Tea"
2,"Cocoa"
5,"Chocolate"
0,"Sugar"
-2,"Corn Syrup"
3,"Molasses"
3, "Strawberry Preserves"